representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=5,0.6675418569254186,0.6263736263736264,0.5277777777777778
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=10,0.6675418569254186,0.6263736263736264,0.5277777777777778
CAPTION_ONLY,"(1, 2)","(3, 5)",Logistic C=10,0.6675418569254185,0.6263736263736264,0.5277777777777778
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=1,0.667503805175038,0.6043956043956044,0.5
TAGS_ONLY,"(1, 4)","(3, 7)",Balanced Logistic C=10,0.6649543378995434,0.6043956043956044,0.5
CAPTION_ONLY,"(1, 4)","(3, 7)",Logistic C=2,0.6648782343987822,0.6373626373626373,0.49230769230769234
CAPTION_ONLY,"(1, 2)","(3, 5)",Logistic C=2,0.6648401826484018,0.6483516483516484,0.4838709677419355
CAPTION_ONLY,"(1, 3)","(3, 6)",Logistic C=2,0.6648401826484018,0.6483516483516484,0.5
CAPTION_TAGS,"(1, 2)","(3, 5)",Logistic C=5,0.6648401826484018,0.6373626373626373,0.5074626865671642
CAPTION_TAGS,"(1, 2)","(3, 5)",SVM C=0.3,0.6648401826484018,0.6263736263736264,0.5
WEIGHTED_TEXT,"(1, 2)","(3, 5)",SVM C=0.3,0.6648401826484018,0.5934065934065934,0.4126984126984127
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=0.3,0.6648021308980213,0.5934065934065934,0.4307692307692308
CAPTION_ONLY,"(1, 2)","(3, 5)",SVM C=1,0.6648021308980212,0.6043956043956044,0.5135135135135135
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=10,0.6647640791476407,0.6153846153846154,0.5070422535211268
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=10,0.6622146118721461,0.5934065934065934,0.44776119402985076
TAGS_ONLY,"(1, 2)","(3, 5)",Logistic C=10,0.6622146118721461,0.5824175824175825,0.40625
TAGS_ONLY,"(1, 1)","(3, 5)",SVM C=5,0.6621765601217655,0.5934065934065934,0.4307692307692308
WEIGHTED_TEXT,"(1, 3)","(3, 6)",Logistic C=2,0.662138508371385,0.6263736263736264,0.45161290322580644
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=0.3,0.6621004566210045,0.5824175824175825,0.4411764705882353
CAPTION_ONLY,"(1, 1)","(3, 5)",Logistic C=2,0.6620624048706241,0.6483516483516484,0.4666666666666667
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Logistic C=10,0.6620624048706241,0.5934065934065934,0.463768115942029
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Logistic C=5,0.662062404870624,0.5934065934065934,0.44776119402985076
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=2,0.661986301369863,0.6263736263736264,0.5277777777777778
